data at t = 710: tot = 1143.44496, non-emp = 2821, mx = 8.70698, top10av = 6.92169
data at t = 720: tot = 1155.04939, non-emp = 2834, mx = 8.81619, top10av = 7.08329
data at t = 730: tot = 1166.82048, non-emp = 2845, mx = 8.91486, top10av = 7.23885
winter comes! 
data at t = 740: tot = 1145.26633, non-emp = 2848, mx = 8.53020, top10av = 7.01119
data at t = 750: tot = 1124.45448, non-emp = 2850, mx = 8.28946, top10av = 6.80307
data at t = 760: tot = 1104.34236, non-emp = 2854, mx = 8.06232, top10av = 6.60904
data at t = 770: tot = 1084.89195, non-emp = 2857, mx = 7.84719, top10av = 6.42459
data at t = 780: tot = 1066.06863, non-emp = 2860, mx = 7.64287, top10av = 6.24890
data at t = 790: tot = 1047.84043, non-emp = 2862, mx = 7.44844, top10av = 6.08131
data at t = 800: tot = 1030.17771, non-emp = 2866, mx = 7.26309, top10av = 5.92595
data at t = 810: tot = 1013.05278, non-emp = 2867, mx = 7.08616, top10av = 5.78571
data at t = 820: tot = 996.43978, non-emp = 2870, mx = 6.91702, top10av = 5.65110
data at t = 830: tot = 980.31446, non-emp = 2874, mx = 6.75515, top10av = 5.52177
data at t = 840: tot = 964.65406, non-emp = 2877, mx = 6.60003, top10av = 5.39741
data at t = 850: tot = 949.43722, non-emp = 2878, mx = 6.45123, top10av = 5.28602
data at t = 860: tot = 934.64384, non-emp = 2882, mx = 6.30832, top10av = 5.17976
data at t = 870: tot = 920.25502, non-emp = 2883, mx = 6.17094, top10av = 5.07699
data at t = 880: tot = 906.25295, non-emp = 2885, mx = 6.03872, top10av = 4.97752
data at t = 890: tot = 892.62089, non-emp = 2887, mx = 5.91136, top10av = 4.88118
data at t = 900: tot = 879.34303, non-emp = 2892, mx = 5.78855, top10av = 4.78780
data at t = 910: tot = 866.40448, non-emp = 2893, mx = 5.67001, top10av = 4.69723
summer comes! 
data at t = 920: tot = 870.89214, non-emp = 2898, mx = 5.81836, top10av = 4.76298
data at t = 930: tot = 886.69704, non-emp = 2908, mx = 6.12053, top10av = 4.92187
data at t = 940: tot = 902.36266, non-emp = 2916, mx = 6.40254, top10av = 5.07183
